s, 0x29, pmu, TDEV1, 26.08
1418399161.583s, 0x29, pmu, TDEV1, 26.08
1418399164.590s, 0x29, pmu, TDEV1, 26.05
1418399166.570s, 0x28, pmu, TJINT, 29.18
1418399166.736s, 0x2B, pmu, TDEV3, 25.95
1418399167.604s, 0x29, pmu, TDEV1, 26.08
1418399169.472s, 0x03, soc, CCC_THERMAL1, 26.03
1418399169.497s, 0x2C, pmu, TDEV4, 28.57
1418399169.597s, 0x00, soc, THERMAL0, 27.29
1418399169.597s, 0x01, soc, THERMAL1, 28.14
1418399169.597s, 0x02, soc, CCC_THERMAL0, 26.87
1418399170.616s, 0x29, pmu, TDEV1, 26.08
1418399173.623s, 0x29, pmu, TDEV1, 26.08
1418399176.630s, 0x29, pmu, TDEV1, 26.05
1418399179.602s, 0x00, soc, THERMAL0, 26.87
1418399179.602s, 0x01, soc, THERMAL1, 28.14
1418399179.602s, 0x02, soc, CCC_THERMAL0, 26.03
1418399179.637s, 0x29, pmu, TDEV1, 26.08
1418399182.644s, 0x29, pmu, TDEV1, 26.08
1418399183.508s, 0x04, soc, CCC_THERMAL2, 26.87
1418399183.623s, 0x2A, pmu, TDEV2, 26.88
1418399184.476s, 0x03, soc, CCC_THERMAL1, 26.03
1418399185.656s, 0x29, pmu, TDEV1, 26.08
1418399186.745s, 0x2B, pmu, TDEV3, 25.98
1418399188.668s, 0x29, pmu, TDEV1, 26.19
1418399189.612s, 0x00, soc, THERMAL0, 27.29
1418399189.612s, 0x01, soc, THERMAL1, 28.56
1418399189.612s, 0x02, soc, CCC_THERMAL0, 26.45
1418399191.675s, 0x29, pmu, TDEV1, 26.08
1418399194.511s, 0x2C, pmu, TDEV4, 28.61
1418399194.687s, 0x29, pmu, TDEV1, 26.08
1418399197.694s, 0x29, pmu, TDEV1, 26.08
1418399199.481s, 0x03, soc, CCC_THERMAL1, 26.87
1418399199.622s, 0x00, soc, THERMAL0, 27.29
1418399199.622s, 0x01, soc, THERMAL1, 28.14
1418399199.622s, 0x02, soc, CCC_THERMAL0, 26.03
1418399200.701s, 0x29, pmu, TDEV1, 26.15
1418399203.708s, 0x29, pmu, TDEV1, 26.08
1418399206.582s, 0x28, pmu, TJINT, 29.18
1418399206.718s, 0x29, pmu, TDEV1, 26.12
1418399206.752s, 0x2B, pmu, TDEV3, 25.95
1418399209.624s, 0x00, soc, THERMAL0, 27.29
1418399209.624s, 0x01, soc, THERMAL1, 28.56
1418399209.624s, 0x02, soc, CCC_THERMAL0, 26.03
1418399209.729s, 0x29, pmu, TDEV1, 26.08
1418399212.736s, 0x29, pmu, TDEV1, 26.12
1418399213.510s, 0x04, soc, CCC_THERMAL2, 26.87
1418399213.635s, 0x2A, pmu, TDEV2, 26.88
1418399214.488s, 0x03, soc, CCC_THERMAL1, 26.03
1418399215.748s, 0x29, pmu, TDEV1, 26.05
1418399218.755s, 0x29, pmu, TDEV1, 26.08
1418399219.523s, 0x2C, pmu, TDEV4, 28.61
1418399219.634s, 0x00, soc, THERMAL0, 27.29
1418399219.634s, 0x01, soc, THERMAL1, 28.56
1418399219.634s, 0x02, soc, CCC_THERMAL0, 26.45
1418399221.767s, 0x29, pmu, TDEV1, 26.08
1418399224.774s, 0x29, pmu, TDEV1, 26.08
1418399226.767s, 0x2B, pmu, TDEV3, 25.98
1418399227.786s, 0x29, pmu, TDEV1, 26.08
1418399229.493s, 0x03, soc, CCC_THERMAL1, 26.45
1418399229.644s, 0x00, soc, THERMAL0, 27.71
1418399229.644s, 0x01, soc, THERMAL1, 28.56
1418399229.644s, 0x02, soc, CCC_THERMAL0, 26.45
1418399230.793s, 0x29, pmu, TDEV1, 26.08
1418399233.800s, 0x29, pmu, TDEV1, 26.08
1418399236.807s, 0x29, pmu, TDEV1, 26.12
1418399239.649s, 0x00, soc, THERMAL0, 27.29
1418399239.649s, 0x01, soc, THERMAL1, 28.98
1418399239.649s, 0x02, soc, CCC_THERMAL0, 26.03
1418399239.814s, 0x29, pmu, TDEV1, 26.08
1418399242.821s, 0x29, pmu, TDEV1, 26.08
1418399243.514s, 0x04, soc, CCC_THERMAL2, 26.87
1418399243.649s, 0x2A, pmu, TDEV2, 26.92
1418399244.503s, 0x03, soc, CCC_THERMAL1, 26.87
1418399244.538s, 0x2C, pmu, TDEV4, 28.61
1418399245.828s, 0x29, pmu, TDEV1, 26.08
1418399246.594s, 0x28, pmu, TJINT, 28.91
1418399246.779s, 0x2B, pmu, TDEV3, 25.98
1418399248.842s, 0x29, pmu, TDEV1, 26.12
1418399249.656s, 0x00, soc, THERMAL0, 27.29
1418399249.656s, 0x01, soc, THERMAL1, 28.56
1418399249.656s, 0x02, soc, CCC_THERMAL0, 26.87
1418399251.849s, 0x29, pmu, TDEV1, 26.08
1418399254.856s, 0x29, pmu, TDEV1, 26.15
1418399257.863s, 0x29, pmu, TDEV1, 26.15
1418399259.510s, 0x03, soc, CCC_THERMAL1, 26.45
1418399259.661s, 0x00, soc, THERMAL0, 27.71
1418399259.661s, 0x01, soc, THERMAL1, 28.56
1418399259.661s, 0x02, soc, CCC_THERMAL0, 26.87
1418399260.871s, 0x29, pmu, TDEV1, 26.08
1418399263.878s, 0x29, pmu, TDEV1, 26.08
1418399266.784s, 0x2B, pmu, TDEV3, 26.05
1418399266.889s, 0x29, pmu, TDEV1, 26.12
1418399269.545s, 0x2C, pmu, TDEV4, 28.65
1418399269.666s, 0x00, soc, THERMAL0, 27.71
1418399269.666s, 0x01, soc, THERMAL1, 28.56
1418399269.666s, 0x02, soc, CCC_THERMAL0, 26.03
1418399269.901s, 0x29, pmu, TDEV1, 26.08
1418399272.908s, 0x29, pmu, TDEV1, 26.22
1418399273.521s, 0x04, soc, CCC_THERMAL2, 27.29
1418399273.656s, 0x2A, pmu, TDEV2, 26.99
1418399274.520s, 0x03, soc, CCC_THERMAL1, 26.87
1418399275.920s, 0x29, pmu, TDEV1, 26.15
1418399278.927s, 0x29, pmu, TDEV1, 26.15
1418399279.670s, 0x00, soc, THERMAL0, 27.29
1418399279.670s, 0x01, soc, THERMAL1, 28.14
1418399279.670s, 0x02, soc, CCC_THERMAL0, 26.87
1418399281.934s, 0x29, pmu, TDEV1, 26.15
1418399284.941s, 0x29, pmu, TDEV1, 26.19
1418399286.601s, 0x28, pmu, TJINT, 28.91
1418399286.796s, 0x2B, pmu, TDEV3, 26.02
1418399287.956s, 0x29, pmu, TDEV1, 26.22
1418399289.522s, 0x03, soc, CCC_THERMAL1, 26.03
1418399289.673s, 0x00, soc, THERMAL0, 27.71
1418399289.673s, 0x01, soc, THERMAL1, 28.14
1418399289.673s, 0x02, soc, CCC_THERMAL0, 26.45
1418399290.963s, 0x29, pmu, TDEV1, 26.08
1418399293.970s, 0x29, pmu, TDEV1, 26.22
1418399294.557s, 0x2C, pmu, TDEV4, 28.65
1418399296.982s, 0x29, pmu, TDEV1, 26.15
1418399299.683s, 0x00, soc, THERMAL0, 27.71
1418399299.683s, 0x01, soc, THERMAL1, 28.56
1418399299.683s, 0x02, soc, CCC_THERMAL0, 26.45
1418399299.989s, 0x29, pmu, TDEV1, 26.12
1418399302.996s, 0x29, pmu, TDEV1, 26.15
1418399303.528s, 0x04, soc, CCC_THERMAL2, 26.87
1418399303.663s, 0x2A, pmu, TDEV2, 26.95
1418399304.527s, 0x03, soc, CCC_THERMAL1, 26.45
1418399306.008s, 0x29, pmu, TDEV1, 26.19
1418399306.806s, 0x2B, pmu, TDEV3, 26.02
1418399309.019s, 0x29, pmu, TDEV1, 26.12
1418399309.692s, 0x00, soc, THERMAL0, 27.29
1418399309.692s, 0x01, soc, THERMAL1, 28.14
1418399309.692s, 0x02, soc, CCC_THERMAL0, 26.45
1418399312.027s, 0x29, pmu, TDEV1, 26.12
1418399315.034s, 0x29, pmu, TDEV1, 26.08
1418399318.041s, 0x29, pmu, TDEV1, 26.19
1418399319.537s, 0x03, soc, CCC_THERMAL1, 26.03
1418399319.572s, 0x2C, pmu, TDEV4, 28.69
1418399319.702s, 0x00, soc, THERMAL0, 27.29
1418399319.702s, 0x01, soc, THERMAL1, 28.56
1418399319.702s, 0x02, soc, CCC_THERMAL0, 26.45
1418399321.052s, 0x29, pmu, TDEV1, 26.15
1418399324.060s, 0x29, pmu, TDEV1, 26.15
1418399326.613s, 0x28, pmu, TJINT, 29.18
1418399326.818s, 0x2B, pmu, TDEV3, 26.02
1418399327.074s, 0x29, pmu, TDEV1, 26.08
1418399329.705s, 0x00, soc, THERMAL0, 27.71
1418399329.705s, 0x01, soc, THERMAL1, 28.14
1418399329.705s, 0x02, soc, CCC_THERMAL0, 26.03
1418399330.081s, 0x29, pmu, TDEV1, 26.15
1418399333.088s, 0x29, pmu, TDEV1, 26.22
1418399333.530s, 0x04, soc, CCC_THERMAL2, 27.29
1418399333.675s, 0x2A, pmu, TDEV2, 27.06
1418399334.539s, 0x03, soc, CCC_THERMAL1, 26.45
1418399336.100s, 0x29, pmu, TDEV1, 26.15
1418399339.106s, 0x29, pmu, TDEV1, 26.15
1418399339.708s, 0x00, soc, THERMAL0, 27.29
1418399339.708s, 0x01, soc, THERMAL1, 28.56
1418399339.708s, 0x02, soc, CCC_THERMAL0, 26.03
1418399342.113s, 0x29, pmu, TDEV1, 26.15
1418399344.578s, 0x2C, pmu, TDEV4, 28.72
1418399345.125s, 0x29, pmu, TDEV1, 26.15
1418399346.826s, 0x2B, pmu, TDEV3, 26.05
1418399348.137s, 0x29, pmu, TDEV1, 26.15
1418399349.542s, 0x03, soc, CCC_THERMAL1, 26.87
1418399349.713s, 0x00, soc, THERMAL0, 27.29
1418399349.713s, 0x01, soc, THERMAL1, 28.56
1418399349.713s, 0x02, soc, CCC_THERMAL0, 26.03
1418399351.144s, 0x29, pmu, TDEV1, 26.15
1418399354.151s, 0x29, pmu, TDEV1, 26.15
1418399357.158s, 0x29, pmu, TDEV1, 26.15
1418399359.718s, 0x00, soc, THERMAL0, 27.71
1418399359.718s, 0x01, soc, THERMAL1, 28.98
1418399359.718s, 0x02, soc, CCC_THERMAL0, 26.45
