s, 0x29, pmu, TDEV1, 26.08
1418411769.500s, 0x2C, pmu, TDEV4, 29.03
1418411827.984s, wrote at: 2014.12.12.19.17.8
1418411948.405s, 0x00, soc, THERMAL0, 28.14
1418411948.405s, 0x01, soc, THERMAL1, 28.98
1418411948.405s, 0x02, soc, CCC_THERMAL0, 28.14
1418411948.405s, 0x03, soc, CCC_THERMAL1, 28.98
1418411948.405s, 0x04, soc, CCC_THERMAL2, 28.56
1418411948.408s, 0x28, pmu, TJINT, 29.71
1418411948.457s, 0x29, pmu, TDEV1, 26.34
1418411948.462s, 0x2A, pmu, TDEV2, 27.19
1418411948.467s, 0x2B, pmu, TDEV3, 26.21
1418411948.471s, 0x2C, pmu, TDEV4, 28.83
1418412068.410s, 0x00, soc, THERMAL0, 28.14
1418412068.410s, 0x01, soc, THERMAL1, 28.98
1418412068.410s, 0x02, soc, CCC_THERMAL0, 26.87
1418412068.410s, 0x03, soc, CCC_THERMAL1, 26.87
1418412068.410s, 0x04, soc, CCC_THERMAL2, 27.71
1418412068.413s, 0x28, pmu, TJINT, 29.71
1418412068.468s, 0x29, pmu, TDEV1, 26.41
1418412068.473s, 0x2A, pmu, TDEV2, 27.26
1418412068.477s, 0x2B, pmu, TDEV3, 26.27
1418412068.482s, 0x2C, pmu, TDEV4, 28.83
1418412188.411s, 0x00, soc, THERMAL0, 28.14
1418412188.411s, 0x01, soc, THERMAL1, 28.98
1418412188.411s, 0x02, soc, CCC_THERMAL0, 26.87
1418412188.411s, 0x03, soc, CCC_THERMAL1, 27.29
1418412188.411s, 0x04, soc, CCC_THERMAL2, 27.71
1418412188.424s, 0x28, pmu, TJINT, 29.18
1418412188.479s, 0x29, pmu, TDEV1, 26.38
1418412188.483s, 0x2A, pmu, TDEV2, 27.26
1418412188.488s, 0x2B, pmu, TDEV3, 26.24
1418412188.493s, 0x2C, pmu, TDEV4, 28.87
1418412308.411s, 0x00, soc, THERMAL0, 27.71
1418412308.412s, 0x01, soc, THERMAL1, 28.98
1418412308.412s, 0x02, soc, CCC_THERMAL0, 26.87
1418412308.412s, 0x03, soc, CCC_THERMAL1, 27.29
1418412308.412s, 0x04, soc, CCC_THERMAL2, 27.71
1418412308.434s, 0x28, pmu, TJINT, 29.45
1418412308.489s, 0x29, pmu, TDEV1, 26.34
1418412308.494s, 0x2A, pmu, TDEV2, 27.19
1418412308.499s, 0x2B, pmu, TDEV3, 26.24
1418412308.503s, 0x2C, pmu, TDEV4, 28.87
1418412428.412s, 0x00, soc, THERMAL0, 27.71
1418412428.412s, 0x01, soc, THERMAL1, 28.98
1418412428.412s, 0x02, soc, CCC_THERMAL0, 26.87
1418412428.412s, 0x03, soc, CCC_THERMAL1, 26.87
1418412428.412s, 0x04, soc, CCC_THERMAL2, 27.71
1418412428.445s, 0x28, pmu, TJINT, 29.18
1418412428.500s, 0x29, pmu, TDEV1, 26.34
1418412428.505s, 0x2A, pmu, TDEV2, 27.19
1418412428.509s, 0x2B, pmu, TDEV3, 26.24
1418412428.514s, 0x2C, pmu, TDEV4, 28.83
1418412548.413s, 0x00, soc, THERMAL0, 27.71
1418412548.413s, 0x01, soc, THERMAL1, 28.98
1418412548.413s, 0x02, soc, CCC_THERMAL0, 27.29
1418412548.413s, 0x03, soc, CCC_THERMAL1, 27.29
1418412548.413s, 0x04, soc, CCC_THERMAL2, 27.29
1418412548.456s, 0x28, pmu, TJINT, 28.91
1418412548.511s, 0x29, pmu, TDEV1, 26.31
1418412548.515s, 0x2A, pmu, TDEV2, 27.12
1418412548.520s, 0x2B, pmu, TDEV3, 26.27
1418412548.525s, 0x2C, pmu, TDEV4, 28.83
1418412668.413s, 0x00, soc, THERMAL0, 27.71
1418412668.413s, 0x01, soc, THERMAL1, 28.98
1418412668.413s, 0x02, soc, CCC_THERMAL0, 26.87
1418412668.413s, 0x03, soc, CCC_THERMAL1, 26.87
1418412668.413s, 0x04, soc, CCC_THERMAL2, 27.29
1418412668.466s, 0x28, pmu, TJINT, 29.18
1418412668.521s, 0x29, pmu, TDEV1, 26.38
1418412668.526s, 0x2A, pmu, TDEV2, 27.12
1418412668.531s, 0x2B, pmu, TDEV3, 26.27
1418412668.535s, 0x2C, pmu, TDEV4, 28.79
1418412788.414s, 0x00, soc, THERMAL0, 27.71
1418412788.414s, 0x01, soc, THERMAL1, 28.56
1418412788.414s, 0x02, soc, CCC_THERMAL0, 26.87
1418412788.414s, 0x03, soc, CCC_THERMAL1, 27.29
1418412788.414s, 0x04, soc, CCC_THERMAL2, 27.71
1418412788.477s, 0x28, pmu, TJINT, 29.18
1418412788.532s, 0x29, pmu, TDEV1, 26.34
1418412788.537s, 0x2A, pmu, TDEV2, 27.16
1418412788.541s, 0x2B, pmu, TDEV3, 26.17
1418412788.546s, 0x2C, pmu, TDEV4, 28.79
1418412908.415s, 0x00, soc, THERMAL0, 27.71
1418412908.415s, 0x01, soc, THERMAL1, 28.56
1418412908.415s, 0x02, soc, CCC_THERMAL0, 26.87
1418412908.415s, 0x03, soc, CCC_THERMAL1, 27.29
1418412908.415s, 0x04, soc, CCC_THERMAL2, 27.29
1418412908.488s, 0x28, pmu, TJINT, 28.91
1418412908.543s, 0x29, pmu, TDEV1, 26.31
1418412908.547s, 0x2A, pmu, TDEV2, 27.16
1418412908.552s, 0x2B, pmu, TDEV3, 26.21
1418412908.557s, 0x2C, pmu, TDEV4, 28.72
1418413028.415s, 0x00, soc, THERMAL0, 27.71
1418413028.415s, 0x01, soc, THERMAL1, 28.56
1418413028.415s, 0x02, soc, CCC_THERMAL0, 26.87
1418413028.415s, 0x03, soc, CCC_THERMAL1, 26.87
1418413028.415s, 0x04, soc, CCC_THERMAL2, 27.29
1418413028.498s, 0x28, pmu, TJINT, 29.18
1418413028.553s, 0x29, pmu, TDEV1, 26.21
1418413028.558s, 0x2A, pmu, TDEV2, 27.05
1418413028.563s, 0x2B, pmu, TDEV3, 26.10
1418413028.567s, 0x2C, pmu, TDEV4, 28.64
1418413148.416s, 0x00, soc, THERMAL0, 27.71
1418413148.416s, 0x01, soc, THERMAL1, 29.40
1418413148.416s, 0x02, soc, CCC_THERMAL0, 26.87
1418413148.416s, 0x03, soc, CCC_THERMAL1, 26.87
1418413148.416s, 0x04, soc, CCC_THERMAL2, 27.29
1418413148.509s, 0x28, pmu, TJINT, 28.91
1418413148.564s, 0x29, pmu, TDEV1, 26.21
1418413148.569s, 0x2A, pmu, TDEV2, 26.98
1418413148.573s, 0x2B, pmu, TDEV3, 26.07
1418413148.578s, 0x2C, pmu, TDEV4, 28.68
1418413268.417s, 0x00, soc, THERMAL0, 27.71
1418413268.417s, 0x01, soc, THERMAL1, 28.98
1418413268.417s, 0x02, soc, CCC_THERMAL0, 26.87
1418413268.417s, 0x03, soc, CCC_THERMAL1, 26.87
1418413268.417s, 0x04, soc, CCC_THERMAL2, 27.29
1418413268.520s, 0x28, pmu, TJINT, 28.91
1418413268.575s, 0x29, pmu, TDEV1, 26.21
1418413268.579s, 0x2A, pmu, TDEV2, 27.01
1418413268.584s, 0x2B, pmu, TDEV3, 26.00
1418413268.589s, 0x2C, pmu, TDEV4, 28.60
1418413388.417s, 0x00, soc, THERMAL0, 27.71
1418413388.417s, 0x01, soc, THERMAL1, 28.56
1418413388.417s, 0x02, soc, CCC_THERMAL0, 26.87
1418413388.417s, 0x03, soc, CCC_THERMAL1, 26.87
1418413388.417s, 0x04, soc, CCC_THERMAL2, 27.71
1418413388.530s, 0x28, pmu, TJINT, 28.65
1418413388.585s, 0x29, pmu, TDEV1, 26.14
1418413388.590s, 0x2A, pmu, TDEV2, 26.94
1418413388.595s, 0x2B, pmu, TDEV3, 26.00
1418413388.599s, 0x2C, pmu, TDEV4, 28.64
1418413508.418s, 0x00, soc, THERMAL0, 27.71
1418413508.418s, 0x01, soc, THERMAL1, 28.98
1418413508.418s, 0x02, soc, CCC_THERMAL0, 26.87
1418413508.418s, 0x03, soc, CCC_THERMAL1, 26.87
1418413508.418s, 0x04, soc, CCC_THERMAL2, 27.29
1418413508.541s, 0x28, pmu, TJINT, 29.18
1418413508.596s, 0x29, pmu, TDEV1, 26.14
1418413508.601s, 0x2A, pmu, TDEV2, 26.91
1418413508.605s, 0x2B, pmu, TDEV3, 26.00
1418413508.610s, 0x2C, pmu, TDEV4, 28.52
1418413628.418s, 0x00, soc, THERMAL0, 27.71
1418413628.418s, 0x01, soc, THERMAL1, 28.56
1418413628.418s, 0x02, soc, CCC_THERMAL0, 26.87
1418413628.418s, 0x03, soc, CCC_THERMAL1, 26.45
1418413628.418s, 0x04, soc, CCC_THERMAL2, 27.29
1418413628.551s, 0x28, pmu, TJINT, 28.91
1418413628.606s, 0x29, pmu, TDEV1, 26.07
1418413628.611s, 0x2A, pmu, TDEV2, 26.91
1418413628.616s, 0x2B, pmu, TDEV3, 25.93
1418413628.620s, 0x2C, pmu, TDEV4, 28.52
1418413748.419s, 0x00, soc, THERMAL0, 27.71
1418413748.419s, 0x01, soc, THERMAL1, 28.56
1418413748.419s, 0x02, soc, CCC_THERMAL0, 26.45
1418413748.419s, 0x03, soc, CCC_THERMAL1, 26.87
1418413748.419s, 0x04, soc, CCC_THERMAL2, 27.71
1418413748.562s, 0x28, pmu, TJINT, 28.91
1418413748.617s, 0x29, pmu, TDEV1, 26.07
1418413748.622s, 0x2A, pmu, TDEV2, 26.87
1418413748.626s, 0x2B, pmu, TDEV3, 25.93
1418413748.631s, 0x2C, pmu, TDEV4, 28.52
1418413868.419s, 0x00, soc, THERMAL0, 27.29
1418413868.419s, 0x01, soc, THERMAL1, 28.56
1418413868.419s, 0x02, soc, CCC_THERMAL0, 26.45
1418413868.419s, 0x03, soc, CCC_THERMAL1, 26.87
1418413868.419s, 0x04, soc, CCC_THERMAL2, 27.29
1418413868.572s, 0x28, pmu, TJINT, 28.91
1418413868.627s, 0x29, pmu, TDEV1, 26.00
1418413868.632s, 0x2A, pmu, TDEV2, 26.83
1418413868.637s, 0x2B, pmu, TDEV3, 25.90
1418413868.642s, 0x2C, pmu, TDEV4, 28.49
1418413988.420s, 0x00, soc, THERMAL0, 27.71
1418413988.420s, 0x01, soc, THERMAL1, 28.56
1418413988.420s, 0x02, soc, CCC_THERMAL0, 26.45
1418413988.420s, 0x03, soc, CCC_THERMAL1, 26.87
1418413988.420s, 0x04, soc, CCC_THERMAL2, 27.29
1418413988.583s, 0x28, pmu, TJINT, 28.91
1418413988.638s, 0x29, pmu, TDEV1, 25.97
1418413988.643s, 0x2A, pmu, TDEV2, 26.73
1418413988.648s, 0x2B, pmu, TDEV3, 25.86
1418413988.652s, 0x2C, pmu, TDEV4, 28.45
1418414108.420s, 0x00, soc, THERMAL0, 27.71
1418414108.420s, 0x01, soc, THERMAL1, 28.56
1418414108.420s, 0x02, soc, CCC_THERMAL0, 26.87
1418414108.420s, 0x03, soc, CCC_THERMAL1, 26.03
1418414108.420s, 0x04, soc, CCC_THERMAL2, 26.87
1418414108.594s, 0x28, pmu, TJINT, 28.91
1418414108.649s, 0x29, pmu, TDEV1, 25.90
1418414108.653s, 0x2A, pmu, TDEV2, 26.69
1418414108.658s, 0x2B, pmu, TDEV3, 25.73
1418414108.663s, 0x2C, pmu, TDEV4, 28.30
1418414228.421s, 0x00, soc, THERMAL0, 27.29
1418414228.421s, 0x01, soc, THERMAL1, 28.56
1418414228.421s, 0x02, soc, CCC_THERMAL0, 26.87
1418414228.421s, 0x03, soc, CCC_THERMAL1, 26.87
1418414228.421s, 0x04, soc, CCC_THERMAL2, 27.29
1418414228.604s, 0x28, pmu, TJINT, 28.65
1418414228.659s, 0x29, pmu, TDEV1, 25.86
1418414228.664s, 0x2A, pmu, TDEV2, 26.69
1418414228.669s, 0x2B, pmu, TDEV3, 25.76
1418414228.674s, 0x2C, pmu, TDEV4, 28.30
1418414348.422s, 0x00, soc, THERMAL0, 27.71
1418414348.422s, 0x01, soc, THERMAL1, 28.56
1418414348.422s, 0x02, soc, CCC_THERMAL0, 26.45
1418414348.422s, 0x03, soc, CCC_THERMAL1, 26.45
1418414348.422s, 0x04, soc, CCC_THERMAL2, 26.87
1418414348.615s, 0x28, pmu, TJINT, 28.38
1418414348.670s, 0x29, pmu, TDEV1, 25.86
1418414348.675s, 0x2A, pmu, TDEV2, 26.62
1418414348.679s, 0x2B, pmu, TDEV3, 25.73
1418414348.684s, 0x2C, pmu, TDEV4, 28.30
1418414468.422s, 0x00, soc, THERMAL0, 27.29
1418414468.422s, 0x01, soc, THERMAL1, 28.56
1418414468.422s, 0x02, soc, CCC_THERMAL0, 26.87
1418414468.422s, 0x03, soc, CCC_THERMAL1, 26.45
1418414468.422s, 0x04, soc, CCC_THERMAL2, 27.29
1418414468.626s, 0x28, pmu, TJINT, 28.65
1418414468.681s, 0x29, pmu, TDEV1, 25.90
1418414468.685s, 0x2A, pmu, TDEV2, 26.69
1418414468.690s, 0x2B, pmu, TDEV3, 25.69
1418414468.695s, 0x2C, pmu, TDEV4, 28.30
1418414588.423s, 0x00, soc, THERMAL0, 27.29
1418414588.423s, 0x01, soc, THERMAL1, 28.56
1418414588.423s, 0x02, soc, CCC_THERMAL0, 26.87
1418414588.423s, 0x03, soc, CCC_THERMAL1, 26.45
1418414588.423s, 0x04, soc, CCC_THERMAL2, 26.87
1418414588.636s, 0x28, pmu, TJINT, 28.91
1418414588.691s, 0x29, pmu, TDEV1, 25.90
1418414588.696s, 0x2A, pmu, TDEV2, 26.73
1418414588.701s, 0x2B, pmu, TDEV3, 25.69
1418414588.705s, 0x2C, pmu, TDEV4, 28.30
1418414708.423s, 0x00, soc, THERMAL0, 27.71
1418414708.423s, 0x01, soc, THERMAL1, 28.14
1418414708.423s, 0x02, soc, CCC_THERMAL0, 26.45
1418414708.423s, 0x03, soc, CCC_THERMAL1, 26.45
1418414708.423s, 0x04, soc, CCC_THERMAL2, 27.29
1418414708.647s, 0x28, pmu, TJINT, 28.91
1418414708.702s, 0x29, pmu, TDEV1, 25.90
1418414708.707s, 0x2A, pmu, TDEV2, 26.76
1418414708.711s, 0x2B, pmu, TDEV3, 25.76
1418414708.716s, 0x2C, pmu, TDEV4, 28.37
1418414828.424s, 0x00, soc, THERMAL0, 27.71
1418414828.424s, 0x01, soc, THERMAL1, 28.56
1418414828.424s, 0x02, soc, CCC_THERMAL0, 26.87
1418414828.424s, 0x03, soc, CCC_THERMAL1, 26.87
1418414828.424s, 0x04, soc, CCC_THERMAL2, 26.87
1418414828.657s, 0x28, pmu, TJINT, 28.91
1418414828.712s, 0x29, pmu, TDEV1, 26.00
1418414828.717s, 0x2A, pmu, TDEV2, 26.76
1418414828.722s, 0x2B, pmu, TDEV3, 25.73
1418414828.727s, 0x2C, pmu, TDEV4, 28.45
1418414948.425s, 0x00, soc, THERMAL0, 27.71
1418414948.425s, 0x01, soc, THERMAL1, 28.56
1418414948.425s, 0x02, soc, CCC_THERMAL0, 26.87
1418414948.425s, 0x03, soc, CCC_THERMAL1, 26.45
1418414948.425s, 0x04, soc, CCC_THERMAL2, 27.29
1418414948.668s, 0x28, pmu, TJINT, 28.65
1418414948.723s, 0x29, pmu, TDEV1, 25.93
1418414948.728s, 0x2A, pmu, TDEV2, 26.76
1418414948.733s, 0x2B, pmu, TDEV3, 25.76
1418414948.737s, 0x2C, pmu, TDEV4, 28.41
1418415068.425s, 0x00, soc, THERMAL0, 27.29
1418415068.425s, 0x01, soc, THERMAL1, 28.56
1418415068.425s, 0x02, soc, CCC_THERMAL0, 26.87
1418415068.425s, 0x03, soc, CCC_THERMAL1, 26.87
1418415068.425s, 0x04, soc, CCC_THERMAL2, 27.29
1418415068.679s, 0x28, pmu, TJINT, 28.91
1418415068.734s, 0x29, pmu, TDEV1, 26.00
1418415068.739s, 0x2A, pmu, TDEV2, 26.76
1418415068.743s, 0x2B, pmu, TDEV3, 25.86
1418415068.748s, 0x2C, pmu, TDEV4, 28.37
1418415188.426s, 0x00, soc, THERMAL0, 27.29
1418415188.426s, 0x01, soc, THERMAL1, 28.56
1418415188.426s, 0x02, soc, CCC_THERMAL0, 26.87
1418415188.426s, 0x03, soc, CCC_THERMAL1, 26.45
1418415188.426s, 0x04, soc, CCC_THERMAL2, 26.87
1418415188.689s, 0x28, pmu, TJINT, 28.91
1418415188.744s, 0x29, pmu, TDEV1, 25.97
1418415188.749s, 0x2A, pmu, TDEV2, 26.69
1418415188.754s, 0x2B, pmu, TDEV3, 25.80
1418415188.759s, 0x2C, pmu, TDEV4, 28.37
1418415308.426s, 0x00, soc, THERMAL0, 27.29
1418415308.426s, 0x01, soc, THERMAL1, 28.56
1418415308.426s, 0x02, soc, CCC_THERMAL0, 26.45
1418415308.426s, 0x03, soc, CCC_THERMAL1, 26.87
1418415308.426s, 0x04, soc, CCC_THERMAL2, 27.29
1418415308.700s, 0x28, pmu, TJINT, 28.38
1418415308.755s, 0x29, pmu, TDEV1, 25.97
1418415308.760s, 0x2A, pmu, TDEV2, 26.76
1418415308.765s, 0x2B, pmu, TDEV3, 25.80
1418415308.769s, 0x2C, pmu, TDEV4, 28.37
1418415428.427s, 0x00, soc, THERMAL0, 27.29
1418415428.427s, 0x01, soc, THERMAL1, 28.56
1418415428.427s, 0x02, soc, CCC_THERMAL0, 26.45
1418415428.427s, 0x03, soc, CCC_THERMAL1, 26.45
1418415428.427s, 0x04, soc, CCC_THERMAL2, 27.29
1418415428.711s, 0x28, pmu, TJINT, 28.91
1418415428.766s, 0x29, pmu, TDEV1, 25.86
1418415428.770s, 0x2A, pmu, TDEV2, 26.76
1418415428.775s, 0x2B, pmu, TDEV3, 25.73
1418415428.780s, 0x2C, pmu, TDEV4, 28.37
1418415548.428s, 0x00, soc, THERMAL0, 27.71
1418415548.428s, 0x01, soc, THERMAL1, 28.56
1418415548.428s, 0x02, soc, CCC_THERMAL0, 26.87
1418415548.428s, 0x03, soc, CCC_THERMAL1, 26.45
1418415548.428s, 0x04, soc, CCC_THERMAL2, 27.29
1418415548.721s, 0x28, pmu, TJINT, 28.91
1418415548.776s, 0x29, pmu, TDEV1, 25.93
1418415548.781s, 0x2A, pmu, TDEV2, 26.73
1418415548.786s, 0x2B, pmu, TDEV3, 25.73
1418415548.791s, 0x2C, pmu, TDEV4, 28.37
1418415668.428s, 0x00, soc, THERMAL0, 27.29
1418415668.428s, 0x01, soc, THERMAL1, 28.56
1418415668.428s, 0x02, soc, CCC_THERMAL0, 26.87
1418415668.428s, 0x03, soc, CCC_THERMAL1, 26.03
1418415668.428s, 0x04, soc, CCC_THERMAL2, 26.87
1418415668.732s, 0x28, pmu, TJINT, 29.18
1418415668.787s, 0x29, pmu, TDEV1, 25.86
1418415668.792s, 0x2A, pmu, TDEV2, 26.73
1418415668.796s, 0x2B, pmu, TDEV3, 25.73
1418415668.801s, 0x2C, pmu, TDEV4, 28.37
1418415788.429s, 0x00, soc, THERMAL0, 27.29
1418415788.429s, 0x01, soc, THERMAL1, 28.56
1418415788.429s, 0x02, soc, CCC_THERMAL0, 26.45
1418415788.429s, 0x03, soc, CCC_THERMAL1, 26.87
1418415788.429s, 0x04, soc, CCC_THERMAL2, 27.29
1418415788.743s, 0x28, pmu, TJINT, 28.38
1418415788.798s, 0x29, pmu, TDEV1, 25.90
1418415788.802s, 0x2A, pmu, TDEV2, 26.66
1418415788.807s, 0x2B, pmu, TDEV3, 25.73
1418415788.812s, 0x2C, pmu, TDEV4, 28.30
1418415796.506s, wrote at: 2014.12.12.20.23.17
1418670220.953s, wrote at: 2014.12.15.19.3.41
45
1418753146.471s, 0x29, pmu, TDEV1, 24.06
1418753146.476s, 0x2A, pmu, TDEV2, 25.41
1418753146.481s, 0x2B, pmu, TDEV3, 24.19
1418753146.485s, 0x2C, pmu, TDEV4, 28.99
1418753266.482s, 0x00, soc, THERMAL0, 28.14
1418753266.482s, 0x01, soc, THERMAL1, 28.98
1418753266.482s, 0x02, soc, CCC_THERMAL0, 28.56
1418753266.482s, 0x03, soc, CCC_THERMAL1, 28.98
1418753266.482s, 0x04, soc, CCC_THERMAL2, 28.56
1418753266.485s, 0x28, pmu, TJINT, 29.18
1418753266.489s, 0x29, pmu, TDEV1, 24.06
1418753266.494s, 0x2A, pmu, TDEV2, 25.48
1418753266.499s, 0x2B, pmu, TDEV3, 24.09
1418753266.504s, 0x2C, pmu, TDEV4, 28.99
1418753386.500s, 0x00, soc, THERMAL0, 28.14
1418753386.500s, 0x01, soc, THERMAL1, 28.56
1418753386.500s, 0x02, soc, CCC_THERMAL0, 28.56
1418753386.500s, 0x03, soc, CCC_THERMAL1, 28.98
1418753386.500s, 0x04, soc, CCC_THERMAL2, 28.56
1418753386.503s, 0x28, pmu, TJINT, 29.71
1418753386.508s, 0x29, pmu, TDEV1, 24.06
1418753386.513s, 0x2A, pmu, TDEV2, 25.38
1418753386.517s, 0x2B, pmu, TDEV3, 24.09
1418753386.522s, 0x2C, pmu, TDEV4, 29.03
1418753506.519s, 0x00, soc, THERMAL0, 27.71
1418753506.519s, 0x01, soc, THERMAL1, 28.98
1418753506.519s, 0x02, soc, CCC_THERMAL0, 28.56
1418753506.519s, 0x03, soc, CCC_THERMAL1, 28.98
1418753506.519s, 0x04, soc, CCC_THERMAL2, 28.98
1418753506.521s, 0x28, pmu, TJINT, 29.18
1418753506.526s, 0x29, pmu, TDEV1, 24.03
1418753506.531s, 0x2A, pmu, TDEV2, 25.38
1418753506.535s, 0x2B, pmu, TDEV3, 24.06
1418753506.540s, 0x2C, pmu, TDEV4, 28.99
1418753626.537s, 0x00, soc, THERMAL0, 28.14
1418753626.537s, 0x01, soc, THERMAL1, 28.56
1418753626.537s, 0x02, soc, CCC_THERMAL0, 28.14
1418753626.537s, 0x03, soc, CCC_THERMAL1, 28.98
1418753626.537s, 0x04, soc, CCC_THERMAL2, 28.56
1418753626.540s, 0x28, pmu, TJINT, 28.91
1418753626.544s, 0x29, pmu, TDEV1, 24.00
1418753626.549s, 0x2A, pmu, TDEV2, 25.34
1418753626.554s, 0x2B, pmu, TDEV3, 24.03
1418753626.558s, 0x2C, pmu, TDEV4, 28.88
1418753746.555s, 0x00, soc, THERMAL0, 28.14
1418753746.555s, 0x01, soc, THERMAL1, 28.56
1418753746.555s, 0x02, soc, CCC_THERMAL0, 28.14
1418753746.555s, 0x03, soc, CCC_THERMAL1, 28.98
1418753746.555s, 0x04, soc, CCC_THERMAL2, 28.56
1418753746.558s, 0x28, pmu, TJINT, 28.91
1418753746.563s, 0x29, pmu, TDEV1, 23.94
1418753746.567s, 0x2A, pmu, TDEV2, 25.38
1418753746.572s, 0x2B, pmu, TDEV3, 23.94
1418753746.577s, 0x2C, pmu, TDEV4, 28.88
1418753866.574s, 0x00, soc, THERMAL0, 27.71
1418753866.574s, 0x01, soc, THERMAL1, 28.56
1418753866.574s, 0x02, soc, CCC_THERMAL0, 28.14
1418753866.574s, 0x03, soc, CCC_THERMAL1, 29.40
1418753866.574s, 0x04, soc, CCC_THERMAL2, 28.56
1418753866.576s, 0x28, pmu, TJINT, 28.91
1418753866.581s, 0x29, pmu, TDEV1, 23.91
1418753866.586s, 0x2A, pmu, TDEV2, 25.28
1418753866.590s, 0x2B, pmu, TDEV3, 23.94
1418753866.595s, 0x2C, pmu, TDEV4, 28.88
1418753986.592s, 0x00, soc, THERMAL0, 27.71
1418753986.592s, 0x01, soc, THERMAL1, 28.98
1418753986.592s, 0x02, soc, CCC_THERMAL0, 28.14
1418753986.592s, 0x03, soc, CCC_THERMAL1, 28.98
1418753986.592s, 0x04, soc, CCC_THERMAL2, 28.56
1418753986.595s, 0x28, pmu, TJINT, 28.65
1418753986.599s, 0x29, pmu, TDEV1, 23.94
1418753986.604s, 0x2A, pmu, TDEV2, 25.28
1418753986.609s, 0x2B, pmu, TDEV3, 23.94
1418753986.614s, 0x2C, pmu, TDEV4, 28.88
1418754106.610s, 0x00, soc, THERMAL0, 27.71
1418754106.610s, 0x01, soc, THERMAL1, 28.56
1418754106.610s, 0x02, soc, CCC_THERMAL0, 28.14
1418754106.610s, 0x03, soc, CCC_THERMAL1, 28.98
1418754106.610s, 0x04, soc, CCC_THERMAL2, 28.98
1418754106.613s, 0x28, pmu, TJINT, 28.65
1418754106.618s, 0x29, pmu, TDEV1, 24.06
1418754106.622s, 0x2A, pmu, TDEV2, 25.34
1418754106.627s, 0x2B, pmu, TDEV3, 24.03
1418754106.632s, 0x2C, pmu, TDEV4, 28.99
1418754226.629s, 0x00, soc, THERMAL0, 27.71
1418754226.629s, 0x01, soc, THERMAL1, 28.56
1418754226.629s, 0x02, soc, CCC_THERMAL0, 28.14
1418754226.629s, 0x03, soc, CCC_THERMAL1, 29.40
1418754226.629s, 0x04, soc, CCC_THERMAL2, 28.56
1418754226.631s, 0x28, pmu, TJINT, 29.45
1418754226.636s, 0x29, pmu, TDEV1, 24.12
1418754226.641s, 0x2A, pmu, TDEV2, 25.41
1418754226.646s, 0x2B, pmu, TDEV3, 24.09
1418754226.650s, 0x2C, pmu, TDEV4, 29.11
1418754346.647s, 0x00, soc, THERMAL0, 28.14
1418754346.647s, 0x01, soc, THERMAL1, 28.98
1418754346.647s, 0x02, soc, CCC_THERMAL0, 28.14
1418754346.647s, 0x03, soc, CCC_THERMAL1, 29.40
1418754346.647s, 0x04, soc, CCC_THERMAL2, 28.56
1418754346.650s, 0x28, pmu, TJINT, 29.45
1418754346.654s, 0x29, pmu, TDEV1, 24.09
1418754346.659s, 0x2A, pmu, TDEV2, 25.48
1418754346.664s, 0x2B, pmu, TDEV3, 24.15
1418754346.669s, 0x2C, pmu, TDEV4, 29.07
1418754466.665s, 0x00, soc, THERMAL0, 28.14
1418754466.665s, 0x01, soc, THERMAL1, 28.98
1418754466.665s, 0x02, soc, CCC_THERMAL0, 28.56
1418754466.665s, 0x03, soc, CCC_THERMAL1, 29.40
1418754466.665s, 0x04, soc, CCC_THERMAL2, 28.56
1418754466.668s, 0x28, pmu, TJINT, 29.45
1418754466.673s, 0x29, pmu, TDEV1, 24.19
1418754466.677s, 0x2A, pmu, TDEV2, 25.51
1418754466.682s, 0x2B, pmu, TDEV3, 24.25
1418754466.687s, 0x2C, pmu, TDEV4, 29.11
1418754586.684s, 0x00, soc, THERMAL0, 28.56
1418754586.684s, 0x01, soc, THERMAL1, 28.98
1418754586.684s, 0x02, soc, CCC_THERMAL0, 28.56
1418754586.684s, 0x03, soc, CCC_THERMAL1, 29.40
1418754586.684s, 0x04, soc, CCC_THERMAL2, 28.98
1418754586.686s, 0x28, pmu, TJINT, 29.18
1418754586.691s, 0x29, pmu, TDEV1, 24.22
1418754586.696s, 0x2A, pmu, TDEV2, 25.61
1418754586.700s, 0x2B, pmu, TDEV3, 24.31
1418754586.705s, 0x2C, pmu, TDEV4, 29.19
1418754706.702s, 0x00, soc, THERMAL0, 28.56
1418754706.702s, 0x01, soc, THERMAL1, 28.98
1418754706.702s, 0x02, soc, CCC_THERMAL0, 28.98
1418754706.702s, 0x03, soc, CCC_THERMAL1, 29.40
1418754706.702s, 0x04, soc, CCC_THERMAL2, 28.98
1418754706.705s, 0x28, pmu, TJINT, 29.18
1418754706.709s, 0x29, pmu, TDEV1, 24.25
1418754706.714s, 0x2A, pmu, TDEV2, 25.71
1418754706.719s, 0x2B, pmu, TDEV3, 24.34
1418754706.724s, 0x2C, pmu, TDEV4, 29.31
1418754826.720s, 0x00, soc, THERMAL0, 28.14
1418754826.720s, 0x01, soc, THERMAL1, 28.98
1418754826.720s, 0x02, soc, CCC_THERMAL0, 28.56
1418754826.720s, 0x03, soc, CCC_THERMAL1, 28.98
1418754826.720s, 0x04, soc, CCC_THERMAL2, 28.98
1418754826.723s, 0x28, pmu, TJINT, 29.18
1418754826.728s, 0x29, pmu, TDEV1, 24.31
